2018-04-29 00:22:16 INFO  TestClass:38 - Chrome launched success
2018-04-29 00:22:21 INFO  TestClass:25 - Google open..................PASS
2018-04-29 00:22:21 INFO  TestClass:48 - Browser closed.................
2018-04-30 13:27:19 INFO  TestClass:41 - Chrome launched success
2018-04-30 13:27:23 INFO  TestClass:25 - Google open..................PASS
2018-04-30 13:27:23 INFO  TestClass:54 - Browser closed.................
2018-04-30 13:27:26 INFO  TestClass:41 - Chrome launched success
2018-04-30 13:27:31 INFO  TestClass:25 - Google open..................PASS
2018-04-30 13:27:31 INFO  TestClass:54 - Browser closed.................
2018-04-30 16:45:29 INFO  TestClass:24 - --------------------------------------------------------------------------------------------------
2018-04-30 16:45:29 INFO  TestClass:25 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:45:29 INFO  TestClass:26 - --------------------------------------------------------------------------------------------------
2018-04-30 16:45:32 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:45:38 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:45:38 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:45:41 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:45:47 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:45:47 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:45:48 INFO  TestClass:67 - --------------------------------------------------------------------------------------------------
2018-04-30 16:45:48 INFO  TestClass:68 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:45:48 INFO  TestClass:69 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:25 INFO  TestClass:24 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:25 INFO  TestClass:25 - *****************************************Started EXecution*****************************************
2018-04-30 16:46:25 INFO  TestClass:26 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:29 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:46:34 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:46:34 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:46:35 INFO  TestClass:60 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:35 INFO  TestClass:61 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:46:35 INFO  TestClass:62 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:38 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:46:43 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:46:43 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:46:43 INFO  TestClass:60 - --------------------------------------------------------------------------------------------------
2018-04-30 16:46:43 INFO  TestClass:61 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:46:43 INFO  TestClass:62 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:11 INFO  TestClass:32 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:11 INFO  TestClass:33 - *****************************************Started EXecution*****************************************
2018-04-30 16:47:11 INFO  TestClass:34 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:14 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:47:19 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:47:19 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:47:20 INFO  TestClass:60 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:20 INFO  TestClass:61 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:47:20 INFO  TestClass:62 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:20 INFO  TestClass:32 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:20 INFO  TestClass:33 - *****************************************Started EXecution*****************************************
2018-04-30 16:47:20 INFO  TestClass:34 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:22 INFO  TestClass:45 - Chrome launched success
2018-04-30 16:47:27 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:47:27 INFO  TestClass:58 - Browser closed.................
2018-04-30 16:47:28 INFO  TestClass:60 - --------------------------------------------------------------------------------------------------
2018-04-30 16:47:28 INFO  TestClass:61 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:47:28 INFO  TestClass:62 - --------------------------------------------------------------------------------------------------
2018-04-30 16:56:26 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-04-30 16:56:26 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-04-30 16:56:26 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-04-30 16:57:51 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-04-30 16:57:51 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-04-30 16:57:51 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-04-30 16:58:47 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:58:47 INFO  TestClass:72 - Browser closed.................
2018-04-30 16:58:47 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-04-30 16:58:47 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:58:47 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-04-30 16:58:47 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-04-30 16:58:47 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-04-30 16:58:47 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-04-30 16:59:42 INFO  TestClass:25 - Google open..................PASS
2018-04-30 16:59:42 INFO  TestClass:72 - Browser closed.................
2018-04-30 16:59:42 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-04-30 16:59:42 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-04-30 16:59:42 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:22 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:22 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 16:36:22 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:27 INFO  TestClass:72 - Browser closed.................
2018-05-07 16:36:29 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:29 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 16:36:29 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:29 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 16:36:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:31 INFO  TestClass:72 - Browser closed.................
2018-05-07 16:36:32 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:32 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 16:36:32 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 17:07:16 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:07:16 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:07:16 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:09:06 INFO  TestClass:72 - Browser closed.................
2018-05-07 17:09:07 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 17:09:07 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 17:09:07 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 17:25:57 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:25:57 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:25:57 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:42:36 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:42:36 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
